Date,Open,High,Low,Close,Adj Close,Volume
2021-03-08,16780.000000,16888.000000,16631.000000,16851.349609,16422.718750,5726
2021-03-09,16900.000000,16930.000000,16660.000000,16899.349609,16469.501953,1759
2021-03-10,16913.349609,16999.349609,16785.449219,16936.699219,16505.898438,5417
2021-03-12,16850.000000,16990.000000,16649.400391,16766.199219,16339.736328,7614
2021-03-15,16767.000000,16860.000000,16596.000000,16831.250000,16403.132813,4273
2021-03-16,16850.050781,17031.000000,16690.000000,16749.250000,16323.216797,3315
2021-03-17,16749.000000,16749.349609,16350.000000,16458.099609,16039.472656,7288
2021-03-18,16458.000000,16625.000000,16172.750000,16202.700195,15790.569336,4961
2021-03-19,16202.000000,16590.099609,16075.150391,16444.349609,16026.072266,6378
2021-03-22,16415.000000,16672.650391,16350.049805,16594.250000,16172.159180,2728
2021-03-23,16599.000000,16747.699219,16498.900391,16693.599609,16268.985352,8275
2021-03-24,16600.000000,16762.449219,16409.000000,16452.599609,16034.112305,4073
2021-03-25,16493.000000,16583.000000,16116.000000,16173.849609,15762.453125,4206
2021-03-26,16398.000000,16600.050781,16250.500000,16568.300781,16146.871094,4096
2021-03-30,16570.000000,17218.000000,16570.000000,17114.050781,16678.738281,5227
2021-03-31,17135.000000,17261.449219,16952.800781,17170.250000,16733.507813,5052
2021-04-01,17105.000000,17143.050781,16968.900391,17102.150391,16667.144531,3554
2021-04-05,17125.000000,17149.599609,16721.800781,16909.199219,16479.099609,8833
2021-04-06,16935.500000,17111.000000,16820.000000,17078.300781,16643.900391,2895
2021-04-07,17080.000000,17863.849609,17050.000000,17420.650391,16977.539063,5029
2021-04-08,17421.000000,17750.000000,17322.449219,17667.900391,17218.500000,21342
2021-04-09,17554.699219,17848.000000,17518.300781,17580.599609,17133.419922,2037
2021-04-12,17401.300781,17620.699219,17341.599609,17495.699219,17050.677734,2886
2021-04-13,17450.050781,17597.199219,17040.199219,17162.150391,16725.615234,1729
2021-04-15,17490.000000,17490.000000,16775.000000,16871.900391,16442.748047,2712
2021-04-16,17000.000000,17328.000000,16870.199219,17238.099609,16799.630859,1743
2021-04-19,17239.500000,17239.500000,16952.099609,17081.250000,16646.773438,1282
2021-04-20,17302.199219,17371.500000,16885.500000,17086.250000,16651.648438,3872
2021-04-22,17199.000000,17199.000000,16552.599609,16778.650391,16351.869141,11575
2021-04-23,16850.000000,16850.000000,16580.000000,16624.449219,16201.590820,3178
2021-04-26,16800.050781,16887.900391,16700.000000,16866.449219,16437.437500,1948
2021-04-27,16870.000000,16910.050781,16755.150391,16783.199219,16356.303711,1609
2021-04-28,16849.000000,16849.000000,16601.349609,16622.000000,16199.204102,23031
