Date,Open,High,Low,Close,Adj Close,Volume,Close_NIFTY,Close_NIFTYBANK
2022-03-07,15102.0,15102.0,14290.0,14368.200195,14367.682617,23863,15863.150391,32871.25
2022-03-08,14550.0,14550.0,13957.0,14456.099609,14455.579102,23914,16013.450195,33158.101563
2022-03-09,14555.0,15199.0,14403.0,15018.849609,15018.308594,17796,16345.349609,33815.449219
2022-03-10,15630.0,15846.900391,15303.849609,15466.950195,15466.393555,19013,16594.900391,34475.601563
2022-03-11,15450.0,15750.0,15285.799805,15564.849609,15564.289063,6955,16630.449219,34546.25
2022-03-14,15620.0,15721.0,15444.0,15671.900391,15671.335938,6460,16871.300781,35312.148438
2022-03-15,15701.049805,15950.0,15538.650391,15709.049805,15708.484375,8086,16663.0,35022.648438
2022-03-16,15900.0,16231.099609,15897.299805,16116.950195,16116.370117,13209,16975.349609,35748.25
2022-03-17,16360.950195,16584.0,16261.099609,16377.400391,16376.810547,8046,17287.050781,36428.550781
2022-03-21,16390.0,16426.699219,16151.299805,16177.299805,16176.717773,7496,17117.599609,36018.5
2022-03-22,16250.0,16595.0,15951.0,16500.949219,16500.355469,8228,17315.5,36348.550781
2022-03-23,16649.0,16716.5,16335.150391,16393.75,16393.160156,11945,17245.650391,36147.351563
2022-03-24,16350.0,16501.0,16189.799805,16377.549805,16376.959961,4297,17222.75,35527.101563
2022-03-25,16400.0,16506.699219,16235.400391,16340.849609,16340.261719,3814,17153.0,35410.101563
2022-03-28,16352.0,16559.949219,16108.0,16519.0,16518.40625,10465,17222.0,35710.5
2022-03-29,16519.0,16623.699219,16422.5,16496.800781,16496.207031,9778,17325.300781,35847.398438
2022-03-30,16471.5,17246.800781,16471.5,17127.5,17126.882813,14559,17498.25,36334.300781
2022-03-31,17149.0,17300.0,16979.349609,17052.150391,17051.537109,8474,17464.75,36373.601563
2022-04-01,17048.0,17200.0,17023.5,17134.050781,17133.433594,4276,17670.449219,37148.5
2022-04-04,17250.0,17482.0,16960.650391,17186.550781,17185.931641,10926,18053.400391,38635.199219
2022-04-05,17338.0,17338.0,16759.949219,16818.849609,16818.244141,18288,17957.400391,38067.898438
2022-04-06,16825.0,16895.099609,16651.0,16718.099609,16717.498047,9137,17807.650391,37632.800781
2022-04-07,16678.0,16700.0,16481.75,16564.550781,16563.955078,4650,17639.550781,37557.351563
2022-04-08,16730.099609,16835.449219,16517.050781,16733.75,16733.148438,7308,17784.349609,37752.050781
2022-04-11,16720.0,16833.0,16550.0,16574.050781,16573.453125,5205,17674.949219,37613.800781
2022-04-12,16550.0,16550.0,16231.0,16305.75,16305.163086,5445,17530.300781,37747.398438
2022-04-13,16345.0,16504.949219,16043.25,16081.799805,16081.220703,7765,17475.650391,37463.398438
2022-04-18,16080.0,16080.0,15655.150391,15820.5,15819.930664,10732,17173.650391,36729.0
2022-04-19,15866.599609,16073.0,15600.0,15689.049805,15688.485352,5341,16958.650391,36341.601563
2022-04-20,15700.0,15795.849609,15325.450195,15509.099609,15508.541016,5755,17136.550781,36314.898438
2022-04-21,15630.0,16015.150391,15596.5,15834.849609,15834.279297,36478,17392.599609,36816.101563
2022-04-22,15766.599609,15766.599609,15426.549805,15450.049805,15449.493164,4699,17171.949219,36044.75
2022-04-25,15402.0,15402.0,15201.200195,15263.200195,15262.650391,3108,16953.949219,36082.351563
2022-04-26,15450.0,15627.0,15310.0,15426.349609,15425.793945,4755,17200.800781,36404.800781
2022-04-27,15350.0,15350.0,14756.950195,14828.549805,14828.015625,9239,17038.400391,36028.851563
2022-04-28,14986.0,15256.599609,14660.849609,15013.799805,15013.259766,15464,17245.050781,36422.199219
2022-04-29,15244.950195,15245.0,14853.0,14908.450195,14907.913086,7686,17102.550781,36088.148438
2022-05-02,14697.0,15026.299805,14600.0,14950.900391,14950.362305,3918,17069.099609,36163.75
2022-05-04,15086.0,15086.0,14280.0,14325.400391,14324.884766,51861,16677.599609,35264.550781
2022-05-05,14500.0,14713.299805,14070.200195,14136.299805,14135.791016,11070,16682.650391,35232.851563
2022-05-06,14000.0,14000.0,13509.900391,13643.5,13643.008789,7534,16411.25,34591.199219
2022-05-09,13595.0,14010.0,13357.099609,13775.5,13775.003906,18107,16301.849609,34275.398438
2022-05-10,13360.099609,13980.400391,13360.099609,13626.450195,13625.959961,3788,16240.049805,34482.648438
2022-05-11,13700.0,13838.950195,13162.0,13318.700195,13318.220703,9918,16167.099609,34693.148438
2022-05-12,13190.0,13250.0,12750.0,12848.950195,12848.487305,9573,15808.0,33532.148438
2022-05-13,13200.0,13218.099609,12573.700195,12613.700195,12613.246094,8149,15782.150391,33121.351563
2022-05-16,12696.0,12775.799805,12441.0,12663.849609,12663.393555,10972,15842.299805,33597.601563
2022-05-17,12735.0,13021.200195,12634.0,12973.650391,12973.183594,12272,16259.299805,34301.898438
2022-05-18,13125.950195,13155.849609,12617.799805,12758.799805,12758.34082,12311,16240.299805,34163.699219
2022-05-19,12474.0,12538.049805,12181.0,12408.700195,12408.253906,9101,15809.400391,33315.648438
2022-05-20,12700.0,12701.0,12439.450195,12562.150391,12561.698242,6652,16266.150391,34276.398438
2022-05-23,12700.0,12795.0,12511.049805,12573.650391,12573.197266,7529,16214.700195,34247.601563
2022-05-24,12679.950195,12679.950195,12300.0,12359.75,12359.304688,10513,16125.150391,34290.148438
2022-05-25,12400.0,12585.549805,12328.75,12402.200195,12401.753906,7217,16025.799805,34339.5
2022-05-26,12488.0,12579.0,12066.799805,12473.049805,12472.600586,6536,16170.150391,35094.898438
2022-05-27,12690.0,12890.799805,12615.0,12766.0,12765.540039,8885,16352.450195,35613.300781
2022-05-30,12969.950195,12984.0,12839.450195,12930.0,12929.53418,8151,16661.400391,35826.949219
2022-05-31,12950.0,13105.0,12769.900391,12914.0,12913.535156,13251,16584.550781,35487.398438
2022-06-01,12900.0,13007.450195,12540.599609,12598.75,12598.296875,6203,16522.75,35620.800781
