Date,Open,High,Low,Close,Adj Close,Volume,Close_NIFTY,Close_NIFTYBANK
2022-03-07,129.0,130.5,126.900002,130.050003,124.353073,14985637,15863.150391,32871.25
2022-03-08,130.5,135.800003,130.5,133.75,127.890991,28572640,16013.450195,33158.101563
2022-03-09,133.949997,133.949997,131.100006,131.5,125.739555,14286413,16345.349609,33815.449219
2022-03-10,132.899994,135.0,131.949997,132.949997,127.126038,13101323,16594.900391,34475.601563
2022-03-11,132.899994,133.399994,131.5,131.949997,126.169846,8669803,16630.449219,34546.25
2022-03-14,131.949997,132.899994,130.75,132.149994,126.361076,5670284,16871.300781,35312.148438
2022-03-15,131.300003,132.949997,130.649994,131.050003,125.309265,6895190,16663.0,35022.648438
2022-03-16,132.399994,133.0,131.550003,132.75,126.934799,5561866,16975.349609,35748.25
2022-03-17,133.5,134.300003,131.899994,132.899994,127.078217,13995384,17287.050781,36428.550781
2022-03-21,132.899994,133.399994,131.699997,132.899994,127.078217,9172207,17117.599609,36018.5
2022-03-22,133.300003,134.149994,131.75,132.850006,127.030426,10343712,17315.5,36348.550781
2022-03-23,132.899994,133.75,132.199997,133.449997,127.604126,11892811,17245.650391,36147.351563
2022-03-24,133.5,135.699997,133.350006,135.399994,129.468704,11276181,17222.75,35527.101563
2022-03-25,136.0,136.149994,134.199997,134.75,128.847183,7266868,17153.0,35410.101563
2022-03-28,135.5,135.5,133.800003,134.800003,128.894989,7778682,17222.0,35710.5
2022-03-29,135.0,135.300003,133.899994,134.350006,128.464706,5116935,17325.300781,35847.398438
2022-03-30,135.0,135.949997,133.449997,135.300003,129.373093,24047012,17498.25,36334.300781
2022-03-31,134.300003,135.600006,134.300003,135.0,129.086243,11615450,17464.75,36373.601563
2022-04-01,138.0,143.449997,136.800003,142.949997,136.687973,32589741,17670.449219,37148.5
2022-04-04,141.850006,146.0,141.5,144.300003,137.978851,15437496,18053.400391,38635.199219
2022-04-05,145.399994,150.600006,144.75,149.100006,142.568573,23958626,17957.400391,38067.898438
2022-04-06,150.350006,155.300003,148.300003,153.0,146.297729,52737388,17807.650391,37632.800781
2022-04-07,152.949997,158.0,152.199997,153.5,146.775818,37738903,17639.550781,37557.351563
2022-04-08,154.899994,154.899994,151.199997,152.050003,145.389343,17585569,17784.349609,37752.050781
2022-04-11,152.449997,154.600006,151.850006,153.100006,146.393356,15583159,17674.949219,37613.800781
2022-04-12,152.699997,153.600006,150.850006,152.600006,145.915253,11306524,17530.300781,37747.398438
2022-04-13,153.050003,156.199997,152.75,153.949997,147.2061,19454061,17475.650391,37463.398438
2022-04-18,154.899994,163.75,154.5,163.199997,156.050919,82098517,17173.650391,36729.0
2022-04-19,164.899994,166.350006,159.5,160.649994,153.61261,38522118,16958.650391,36341.601563
2022-04-20,162.149994,163.199997,159.0,160.5,153.469177,20047692,17136.550781,36314.898438
2022-04-21,161.600006,163.399994,160.350006,162.699997,155.572815,21966151,17392.599609,36816.101563
2022-04-22,161.25,163.0,159.850006,160.449997,153.421371,9922564,17171.949219,36044.75
2022-04-25,158.600006,160.899994,155.399994,156.100006,149.261932,12008027,16953.949219,36082.351563
2022-04-26,157.600006,158.449997,156.0,157.0,150.122498,11735823,17200.800781,36404.800781
2022-04-27,156.800003,159.600006,155.199997,155.649994,148.831635,17873048,17038.400391,36028.851563
2022-04-28,158.0,160.100006,155.25,159.699997,152.704239,29123808,17245.050781,36422.199219
2022-04-29,160.399994,161.0,155.699997,156.199997,149.357544,28941216,17102.550781,36088.148438
2022-05-02,154.600006,158.350006,153.0,157.5,150.600601,13368198,17069.099609,36163.75
